device_id,usage_count,unique_users
AGM-102,18366,17978
OGT-103,17114,16996
OGT-102,16605,16501
AGM-101,15831,15591
IGT-107,15610,15493
IGT-115,15550,15459
AGM-105,14560,14374
AGM-104,14540,14319
OGT-101,14265,14160
IGT-109,13609,13502
AGM-118,13443,13284
OGT-104,13371,13279
AGM-103,13142,12909
IGT-116,12371,12305
AGM-108,12019,11795
IGT-111,11998,11909
IGT-117,11727,11663
AGM-106,11456,11355
AGM-109,11353,11208
AGM-111,10825,10729
IGT-108,9971,9903
AGM-110,9825,9717
IGT-114,9606,9568
IGT-112,9521,9484
IGT-113,9385,9314
OGT-106,9310,9248
OGT-110,9282,9247
OGT-105,9026,8980
AGM-112,8984,8891
AGM-117,8984,8893
IGT-110,8757,8720
OGT-111,8730,8685
IGT-106,8729,8636
AGM-114,8386,8264
OGT-108,8247,8200
OGT-112,8184,8134
IGT-119,8177,8149
AGM-107,8175,8100
IGT-105,7947,7890
AGM-119,7927,7804
OGT-107,7470,7416
AGM-113,7429,7359
AGM-116,6987,6917
OGT-109,6947,6928
OGT-113,6823,6800
OGT-114,6411,6381
IGT-118,6046,6037
AGM-115,5887,5836
AGT-114,5727,5685
AGM-121,5613,5583
IGT-101,5484,5467
AGT-110,5460,5418
IGT-102,5349,5332
OGT-121,5145,5132
OGT-125,5113,5106
AGT-113,5071,5021
OGT-115,5037,5015
进AGM16-17,4691,4675
IGT-121,4588,4576
IGT-120,4534,4530
AGM-120,4532,4496
IGT-103,4434,4427
进AGM17-18,4375,4357
OGT-120,4319,4310
OGT-117,4315,4310
OGT-126,4147,4139
AGT-112,4091,4046
OGT-116,4017,4006
AGT-109,3842,3786
OGT-123,3794,3788
IGT-134,3766,3761
AGT-101,3715,3530
OGT-124,3646,3642
AGT-108,3150,3103
AGT-121,3149,3140
IGT-124,3004,2992
OGT-119,3001,3000
AGT-127,2956,2939
IGT-125,2927,2913
OGT-122,2844,2838
OGT-118,2750,2745
IGT-104,2705,2697
AGT-115,2655,2635
IGT-123,2609,2600
AGT-111,2461,2443
AGT-105,2432,2428
出AGM03-04,2406,2398
AGT-104,2397,2382
AGT-106,2324,2312
进AGM24-25,2313,2306
AGT-107,2210,2200
AGT-116,2196,2187
IGT-132,2168,2165
OGT-127,2154,2153
IGT-133,2138,2137
进AGM25-26,2138,2136
AGM-125,2111,2098
进AGM23-24,2106,2103
出AGM04-05,2104,2097
出AGM02-03,2068,2055
AGM-123,2045,2029
IGT-122,1950,1940
AGT-128,1858,1858
AGM-601,1827,1784
进AGM28-29,1771,1766
AGM-122,1705,1695
进AGM09-10,1705,1690
进AGM31-32,1694,1693
IGT-131,1652,1646
OGT-128,1583,1582
IGT-130,1574,1573
AGT-103,1518,1516
进AGM15-16,1422,1417
进AGM14-15,1413,1406
AGT-118,1392,1377
AGM-127,1388,1386
AGT-120,1377,1366
OGT-138,1370,1366
出AGM05-06,1362,1360
IGT-126,1306,1304
OGT-137,1306,1303
进AGM33-34,1239,1232
AGT-119,1222,1222
AGM-128,1210,1204
OGT-136,1202,1202
IGT-129,1196,1196
AGT-116,1185,1182
AGT-129,1185,1184
AGM-124,1181,1175
出AGM12-13,1180,1175
出AGM11-12,1178,1177
进AGM19-20,1161,1158
双AGM13-14,1160,1141
OGT-115,1140,1139
OGT-114,1077,1077
双AGM01-02,1073,1066
进AGM30-31,1046,1040
IGT_108,1035,1033
OGT-119,1024,1024
进AGM27-28,1019,1017
OGT-129,965,965
AGT-122,946,945
AGT-130,926,923
OGT-120,862,862
出AGM17-18,835,833
AGT-117,808,808
OGT-140,802,802
进AGM22-23,784,784
OGT-135,782,782
AGT-118,781,780
AGM-126,774,773
出AGM10-11,763,763
出AGM09-10,734,734
AGM-143,721,721
出AGM21-22,714,713
进AGM01-02,711,706
进AGM18-19,640,637
OGT-139,636,636
