card_id,trans_count,active_days,first_trans,last_trans
HHJJJAEIH,21,1,2018-09-01T08:54:41.000+08:00,2018-09-01T10:44:54.000+08:00
HHAAJCJCD,18,1,2018-09-01T08:22:37.000+08:00,2018-09-01T11:18:42.000+08:00
HHJJAGDJH,17,1,2018-09-01T05:47:23.000+08:00,2018-09-01T10:34:13.000+08:00
HHJJJFBEI,16,1,2018-09-01T07:35:36.000+08:00,2018-09-01T11:20:49.000+08:00
HHAAAJJCH,16,1,2018-09-01T07:35:54.000+08:00,2018-09-01T11:20:28.000+08:00
HHAAACIFE,16,1,2018-09-01T07:33:57.000+08:00,2018-09-01T11:20:25.000+08:00
FIJGADBIC,16,1,2018-09-01T08:23:15.000+08:00,2018-09-01T11:10:24.000+08:00
HHAAACICH,14,1,2018-09-01T06:44:58.000+08:00,2018-09-01T10:04:16.000+08:00
HHAAJJBBJ,14,1,2018-09-01T07:38:14.000+08:00,2018-09-01T11:01:44.000+08:00
HHAAAACHC,14,1,2018-09-01T07:31:34.000+08:00,2018-09-01T10:54:27.000+08:00
HHABAEFJG,14,1,2018-09-01T08:40:01.000+08:00,2018-09-01T11:18:50.000+08:00
HHAAAJJFJ,14,1,2018-09-01T07:58:01.000+08:00,2018-09-01T11:13:16.000+08:00
HHABJFIFD,14,1,2018-09-01T09:24:31.000+08:00,2018-09-01T11:12:47.000+08:00
HHACJACAG,14,1,2018-09-01T04:11:09.000+08:00,2018-09-01T08:12:08.000+08:00
HHAAABHAF,13,1,2018-09-01T08:10:22.000+08:00,2018-09-01T11:18:51.000+08:00
DIECGFCAB,13,1,2018-09-01T07:41:04.000+08:00,2018-09-01T08:17:35.000+08:00
HHAAJJDHJ,13,1,2018-09-01T07:27:08.000+08:00,2018-09-01T11:22:43.000+08:00
HHAAJBBDA,13,1,2018-09-01T05:43:20.000+08:00,2018-09-01T09:29:13.000+08:00
HHAAAJJBI,12,1,2018-09-01T07:15:16.000+08:00,2018-09-01T11:13:28.000+08:00
HHAAJHCEH,12,1,2018-09-01T05:51:18.000+08:00,2018-09-01T10:09:25.000+08:00
HHAAABHBH,12,1,2018-09-01T07:43:11.000+08:00,2018-09-01T11:27:21.000+08:00
HHAAACHHH,12,1,2018-09-01T08:47:56.000+08:00,2018-09-01T10:51:01.000+08:00
HHABADHBJ,12,1,2018-09-01T07:01:23.000+08:00,2018-09-01T11:15:16.000+08:00
HHJJBEIED,12,1,2018-09-01T07:30:36.000+08:00,2018-09-01T11:12:56.000+08:00
CFAFIDIIB,12,1,2018-09-01T08:19:45.000+08:00,2018-09-01T11:05:42.000+08:00
DICCIHHEA,12,1,2018-09-01T06:39:16.000+08:00,2018-09-01T06:39:46.000+08:00
HHAAACIBC,12,1,2018-09-01T07:10:32.000+08:00,2018-09-01T11:08:16.000+08:00
HHAAJFEFD,12,1,2018-09-01T04:44:58.000+08:00,2018-09-01T10:50:35.000+08:00
HHJJAEIGB,12,1,2018-09-01T04:53:13.000+08:00,2018-09-01T10:00:35.000+08:00
HHAAJFDDC,12,1,2018-09-01T05:36:22.000+08:00,2018-09-01T10:19:18.000+08:00
